,Max Drawdown,Sharpe Ratio,Sortino Ratio
AVB,-0.46911041781647245,0.028195406879812774,0.036921015941001833
DIS,-0.5831311146435239,0.02974194110719328,0.0394910281712528
JNJ,-0.2736625487771126,0.04381018499203095,0.05721498813759865
MSFT,-0.37148485305493406,0.06106026551546368,0.08402439972767801
TSLA,-0.7363221744219122,0.05741593561838197,0.08267090785267246
^DJI,-0.3708617136959431,0.0396321085370881,0.04714691766190762
^IXIC,-0.3639527990912014,0.04814674148231931,0.059857678066469126
^N225,-0.31798896508501917,0.03387118711571183,0.04466805811635538
^NYA,-0.38114249520969257,0.029151484660416914,0.03497382766054572
^VIX,-0.8184786578097171,0.03458733677044771,0.07091018840628917
